month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2025-01-01,B DIVISION,S Fkln,offpeak,219114.19,0.42346707,0.047839846,92787.65,10482.39,8723.662,0.039813314,0.96018666
2025-01-01,B DIVISION,S Fkln,peak,217457.64,0.30308694,0.005989666,65908.57,1302.4987,8023.602,0.03689731,0.9631027
2025-01-01,B DIVISION,S Rock,offpeak,21626.486,0.7074614,-0.7966373,15299.905,-17228.465,1877.0526,0.08679415,0.91320586
2025-01-01,B DIVISION,S Rock,peak,17504.113,0.44884676,-0.8319653,7856.664,-14562.814,1192.715,0.06813913,0.93186086
2025-01-01,B DIVISION,W,offpeak,1757019.1,1.0157427,0.09940768,1784679.2,174661.19,211431.69,0.12033545,0.87966454
2025-01-01,B DIVISION,W,peak,1970225.6,1.0686245,-0.14711262,2105431.2,-289845.06,202837.69,0.102951504,0.8970485
2025-02-01,A DIVISION,1,offpeak,4441686.5,1.4706727,0.6870462,6532267,3051643.8,618216.4,0.13918506,0.8608149
2025-02-01,A DIVISION,1,peak,5147344,1.0039914,0.5949038,5167889,3062174.8,494613.9,0.09609109,0.9039089
2025-02-01,A DIVISION,2,offpeak,2696972.8,1.087167,0.560813,2932059.8,1512497.4,412993.06,0.1531321,0.8468679
2025-02-01,A DIVISION,2,peak,3307910,1.1653521,0.53256625,3854880,1761681.2,440671.62,0.13321753,0.8667825
2025-02-01,A DIVISION,3,offpeak,2189048.8,0.7586782,0.5139071,1660783.5,1124967.6,243825.6,0.11138427,0.8886157
2025-02-01,A DIVISION,3,peak,2608765.5,0.6935546,0.5405329,1809321.4,1410123.6,249449.67,0.09561981,0.9043802
2025-02-01,A DIVISION,4,offpeak,3441783,1.0125843,0.380964,3485095.8,1311195.5,442384.5,0.12853351,0.87146646
2025-02-01,A DIVISION,4,peak,3810993.8,0.9111348,0.4239479,3472329,1615662.9,430370.94,0.11292879,0.8870712
2025-02-01,A DIVISION,5,offpeak,2396255,1.1765646,0.46540192,2819348.8,1115221.8,328651.4,0.13715209,0.8628479
2025-02-01,A DIVISION,5,peak,3294655.8,0.9766518,0.36654934,3217731.5,1207653.9,371115.7,0.11264172,0.88735825
2025-02-01,A DIVISION,6,offpeak,4609438,1.0625254,0.45192537,4897645,2083122.1,500128.6,0.10850099,0.89149904
2025-02-01,A DIVISION,6,peak,5300336,1.1133116,0.57568085,5900926,3051302.2,586468.3,0.11064738,0.8893526
2025-02-01,A DIVISION,7,offpeak,3949220.5,1.01221,0.6622349,3997440.8,2615311.8,522593.9,0.13232836,0.8676716
2025-02-01,A DIVISION,7,peak,4558816,1.2637489,0.73836136,5761198.5,3366053.8,511487.5,0.11219744,0.88780254
