month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2024-08-01,B DIVISION,L,1,10971,12003,0.9140215
2024-08-01,B DIVISION,L,2,3699,3928,0.94170064
2024-08-01,B DIVISION,M,1,5064,6424,0.7882939
2024-08-01,B DIVISION,M,2,2238,2290,0.9772926
2024-08-01,B DIVISION,N,1,7913,10376,0.7626253
2024-08-01,B DIVISION,N,2,1321,2068,0.6387814
2024-08-01,B DIVISION,Q,1,5342,6813,0.78408927
2024-08-01,B DIVISION,Q,2,2004,2344,0.8549488
2024-08-01,B DIVISION,R,1,5039,6638,0.7591142
2024-08-01,B DIVISION,R,2,1597,1862,0.8576799
2024-09-01,A DIVISION,1,1,7553,9222,0.81901973
2024-09-01,A DIVISION,1,2,2877,3144,0.9150763
2024-09-01,A DIVISION,2,1,5128,7029,0.729549
2024-09-01,A DIVISION,2,2,2505,3492,0.71735394
2024-09-01,A DIVISION,3,1,4682,5452,0.85876745
2024-09-01,A DIVISION,3,2,692,1026,0.6744639
2024-09-01,A DIVISION,4,1,6125,7513,0.81525356
2024-09-01,A DIVISION,4,2,2001,2640,0.75795454
2024-09-01,A DIVISION,5,1,4984,6263,0.7957848
2024-09-01,A DIVISION,5,2,2551,2699,0.94516486
2024-09-01,A DIVISION,6,1,8619,11038,0.78084797
2024-09-01,A DIVISION,6,2,2597,3084,0.8420882
2024-09-01,A DIVISION,7,1,12061,12840,0.9393302
2024-09-01,A DIVISION,7,2,3292,3577,0.92032427
2024-09-01,A DIVISION,S 42nd,1,11119,11210,0.99188226
2024-09-01,A DIVISION,S 42nd,2,3778,3780,0.9994709
2024-09-01,B DIVISION,A,1,5971,7591,0.7865894
2024-09-01,B DIVISION,A,2,2464,3096,0.79586565
2024-09-01,B DIVISION,B,1,2291,4335,0.52848905
2024-09-01,B DIVISION,C,1,3230,4392,0.73542804
2024-09-01,B DIVISION,C,2,1122,1548,0.7248062
2024-09-01,B DIVISION,D,1,4344,5920,0.7337838
2024-09-01,B DIVISION,D,2,1818,2160,0.84166664
2024-09-01,B DIVISION,E,1,6493,8200,0.7918293
2024-09-01,B DIVISION,E,2,1802,2088,0.8630268
2024-09-01,B DIVISION,F,1,5225,7843,0.66619915
2024-09-01,B DIVISION,F,2,1526,2076,0.7350674
2024-09-01,B DIVISION,G,1,4652,6006,0.7745588
2024-09-01,B DIVISION,G,2,2017,2412,0.83623546
2024-09-01,B DIVISION,JZ,1,4656,5949,0.78265256
2024-09-01,B DIVISION,JZ,2,3011,3374,0.89241254
2024-09-01,B DIVISION,L,1,10098,10920,0.9247253
2024-09-01,B DIVISION,L,2,3710,3982,0.9316926
2024-09-01,B DIVISION,M,1,4702,5841,0.8049992
2024-09-01,B DIVISION,M,2,1405,1471,0.95513254
2024-09-01,B DIVISION,N,1,7122,9469,0.75213856
2024-09-01,B DIVISION,N,2,1994,2600,0.76692307
2024-09-01,B DIVISION,Q,1,4663,6386,0.73019105
2024-09-01,B DIVISION,Q,2,2206,2598,0.8491147
2024-09-01,B DIVISION,R,1,4882,6058,0.80587655
2024-09-01,B DIVISION,R,2,1874,2154,0.8700093
2024-09-01,B DIVISION,S Fkln,1,4668,4704,0.99234694
2024-09-01,B DIVISION,S Fkln,2,2084,2092,0.9961759
2024-09-01,B DIVISION,S Rock,1,3206,3363,0.9533155
2024-09-01,B DIVISION,S Rock,2,1515,1544,0.9812176
2024-10-01,A DIVISION,1,1,9086,11046,0.8225602
2024-10-01,A DIVISION,1,2,2043,2348,0.8701022
2024-10-01,A DIVISION,2,1,5789,7708,0.7510379
2024-10-01,A DIVISION,2,2,1217,1706,0.7133646
2024-10-01,A DIVISION,3,1,5802,6738,0.86108637
2024-10-01,A DIVISION,3,2,1174,1616,0.72648513
2024-10-01,A DIVISION,4,1,7073,8573,0.82503206
2024-10-01,A DIVISION,4,2,1532,1854,0.8263215
2024-10-01,A DIVISION,5,1,6341,7451,0.8510267
2024-10-01,A DIVISION,5,2,954,1071,0.8907563
2024-10-01,A DIVISION,6,1,10294,12810,0.80359095
2024-10-01,A DIVISION,6,2,1692,2084,0.8119002
2024-10-01,A DIVISION,7,1,13592,14919,0.911053
2024-10-01,A DIVISION,7,2,1966,2130,0.9230047
2024-10-01,A DIVISION,S 42nd,1,12161,12174,0.9989321
2024-10-01,A DIVISION,S 42nd,2,2318,2360,0.98220336
2024-10-01,B DIVISION,A,1,6980,8654,0.80656344
2024-10-01,B DIVISION,A,2,1551,2188,0.70886654
2024-10-01,B DIVISION,B,1,2831,4703,0.6019562
2024-10-01,B DIVISION,C,1,3867,5106,0.7573443
2024-10-01,B DIVISION,C,2,646,1086,0.59484345
2024-10-01,B DIVISION,D,1,4858,6808,0.71357226
2024-10-01,B DIVISION,D,2,1164,1512,0.76984125
2024-10-01,B DIVISION,E,1,7720,9430,0.81866384
2024-10-01,B DIVISION,E,2,1233,1464,0.8422131
2024-10-01,B DIVISION,F,1,6587,9016,0.73059005
2024-10-01,B DIVISION,F,2,940,1456,0.6456044
2024-10-01,B DIVISION,G,1,5696,7118,0.8002248
2024-10-01,B DIVISION,G,2,2716,2804,0.96861625
2024-10-01,B DIVISION,JZ,1,5435,6871,0.7910057
2024-10-01,B DIVISION,JZ,2,1416,1528,0.92670155
2024-10-01,B DIVISION,L,1,11792,12550,0.9396016
2024-10-01,B DIVISION,L,2,2805,2932,0.9566848
2024-10-01,B DIVISION,M,1,5530,6716,0.8234068
2024-10-01,B DIVISION,M,2,1708,1730,0.98728323
2024-10-01,B DIVISION,N,1,8481,11250,0.7538667
2024-10-01,B DIVISION,N,2,1209,1512,0.79960316
2024-10-01,B DIVISION,Q,1,5803,7549,0.7687111
2024-10-01,B DIVISION,Q,2,2320,2532,0.91627175
2024-10-01,B DIVISION,R,1,5287,6918,0.76423824
2024-10-01,B DIVISION,R,2,1217,1430,0.85104895
2024-10-01,B DIVISION,S Fkln,1,5284,5384,0.9814265
2024-10-01,B DIVISION,S Fkln,2,1468,1470,0.99863946
2024-10-01,B DIVISION,S Rock,1,3591,3812,0.9420252
2024-10-01,B DIVISION,S Rock,2,447,459,0.9738562
2024-11-01,A DIVISION,1,1,7669,9249,0.8291707
